,precision,recall,f1-score,support
0,0.5309446254071661,0.9209039548022598,0.6735537190082644,354.0
accuracy,0.5917312661498708,0.5917312661498708,0.5917312661498708,0.5917312661498708
macro avg,0.677972312703583,0.617594834543987,0.564363066400684,774.0
weighted avg,0.6905095573567659,0.5917312661498708,0.5550522355581771,774.0
1,0.825,0.3142857142857143,0.45517241379310347,420.0
