,class,precision,recall,f1-score,support
0,0,0.7293064876957495,0.9616519174041298,0.8295165394402035,339.0
1,accuracy,0.7762938230383973,0.7762938230383973,0.7762938230383973,0.7762938230383973
2,weighted avg,0.8096795613081734,0.7762938230383973,0.7623422371854967,599.0
3,macro avg,0.821890085953138,0.7481336510097572,0.7521369104968008,599.0
4,1,0.9144736842105263,0.5346153846153846,0.6747572815533981,260.0
