,precision,recall,f1-score,support
0,0.8901734104046243,0.9506172839506173,0.9194029850746268,162.0
accuracy,0.8563829787234043,0.8563829787234043,0.8563829787234043,0.8563829787234043
weighted avg,0.8316033288238429,0.8563829787234043,0.8394751721413689,188.0
macro avg,0.6784200385356455,0.6099240265906932,0.6304331998543866,188.0
1,0.4666666666666667,0.2692307692307692,0.34146341463414637,26.0
