,class,precision,recall,f1-score,support
0,0,0.6902173913043478,0.8881118881118881,0.7767584097859327,143.0
1,accuracy,0.7316176470588235,0.7316176470588235,0.7316176470588235,0.7316176470588235
2,weighted avg,0.7509064025807951,0.7316176470588235,0.7230887471887245,272.0
3,macro avg,0.754199604743083,0.7231257114978045,0.7201764399160078,272.0
4,1,0.8181818181818182,0.5581395348837209,0.663594470046083,129.0
