,class,precision,recall,f1-score,support
0,0,0.5881057268722467,0.9238754325259516,0.7187079407806191,289.0
1,accuracy,0.6358885017421603,0.6358885017421603,0.6358885017421603,0.6358885017421603
2,weighted avg,0.7015898171882915,0.6358885017421603,0.6021472488005659,574.0
3,macro avg,0.7023861967694567,0.6338675408243793,0.6013292790322848,574.0
4,1,0.8166666666666667,0.34385964912280703,0.4839506172839506,285.0
