,class,precision,recall,f1-score,support
0,0,0.5669014084507042,0.9640718562874252,0.7139689578713969,167.0
1,accuracy,0.6861313868613139,0.6861313868613139,0.6861313868613139,0.6861313868613139
2,macro avg,0.7598286569812576,0.7299867478158437,0.6831300314963453,411.0
3,weighted avg,0.7959731779954975,0.6861313868613139,0.677352422418781,411.0
4,1,0.952755905511811,0.4959016393442623,0.6522911051212938,244.0
